subject,detection_prob,sex,correct,median_latency
04d,0.518652,male,1,NA
04d,0.551816,male,1,37.1
04d,0.576712,male,0,21.99
04d,0.605109,male,1,31.95
04d,0.614537,male,1,NA
04d,0.647025,male,1,34.2101
04d,0.659413,male,1,35.69
04d,0.696628,male,1,39.8498
04d,0.766586,male,1,43.28
04d,0.794191,male,1,29.77
04d,0.797816,male,0,31.3
04d,0.819003,male,1,NA
04d,0.851388,male,1,33.79
04d,0.871572,male,1,24.75
04d,0.906643,male,0,NA
04d,0.943207,male,1,50.3
05a,0.200612,male,0,37.2
05a,0.277518,male,1,24.26
05a,0.301874,male,1,33.79
05a,0.31145,male,0,77.59
05a,0.339473,male,0,39.21
05a,0.344348,male,0,NA
05a,0.390881,male,0,41.11
05a,0.411292,male,0,32.5102
05a,0.417099,male,0,58.39
05a,0.440291,male,0,NA
05a,0.487548,male,0,50.93
05a,0.494145,male,0,22.88
05a,0.518026,male,0,32.3
05a,0.518335,male,0,38.07
05a,0.523552,male,0,15.6799
05a,0.544148,male,0,44.21
05a,0.591549,male,1,20.96
05a,0.773536,male,1,29.6899
05a,0.786651,male,0,20.51
05a,0.800938,male,1,67.3
05a,0.859906,male,0,28.2
05a,0.860589,male,1,29.54
05a,0.914792,male,1,69
05a,0.929117,male,0,NA
05a,0.930245,male,1,NA
05a,0.938614,male,0,25
05a,0.965322,male,1,55
05a,0.989578,male,0,33.5099
05b,0.186208,female,1,53.9
05b,0.238628,female,0,34.99
05b,0.245448,female,0,NA
05b,0.432533,female,1,61.46
05b,0.453569,female,1,36.93
05b,0.508365,female,0,69.75
05b,0.513065,female,1,59.76
05b,0.529249,female,1,39.93
05b,0.532798,female,1,30.98
05b,0.549687,female,1,71.44
05b,0.578397,female,1,31.14
05b,0.587,female,1,NA
05b,0.661677,female,1,34.79
05b,0.699632,female,1,83.41
05b,0.711549,female,1,29.94
05b,0.725222,female,1,NA
05b,0.744333,female,1,NA
05b,0.747913,female,1,42.49
05b,0.806973,female,1,74.87
05b,0.819637,female,1,39.2197
05b,0.858954,female,1,30.22
05b,0.865782,female,1,24.6499
05b,0.868781,female,0,32.82
05b,0.876622,female,1,29.74
05b,0.887505,female,1,49.77
05b,0.891002,female,1,25.4001
05b,0.935939,female,0,53.16
05b,0.954425,female,1,31.42
05c,0.161407,female,0,58.91
05c,0.185788,female,1,NA
05c,0.249602,female,0,62.2299
05c,0.250541,female,0,73.49
05c,0.30324,female,1,68.66
05c,0.335031,female,1,60.18
05c,0.341965,female,1,75.96
05c,0.354773,female,1,NA
05c,0.367052,female,1,80.8
05c,0.422452,female,1,62.47
05c,0.509209,female,1,47.89
05c,0.580847,female,0,49.71
05c,0.617924,female,1,65.2
05c,0.628508,female,0,NA
05c,0.654942,female,0,50.14
05c,0.655242,female,1,NA
05c,0.665095,female,0,116.45
05c,0.670748,female,0,81.04
05c,0.689336,female,0,60.5002
05c,0.714605,female,0,29.34
05c,0.756465,female,0,79.02
05c,0.761301,female,1,46.31
05c,0.794073,female,1,55.98
05c,0.895441,female,1,59.39
05c,0.909011,female,1,80.16
05c,0.947562,female,1,89.67
05c,0.977174,female,0,43.4302
05c,0.998094,female,1,56.4
05d,0.19793,male,0,53.84
05d,0.223779,male,0,27.69
05d,0.286347,male,0,34.89
05d,0.304628,male,1,NA
05d,0.306246,male,1,64.1
05d,0.308849,male,1,NA
05d,0.333273,male,1,26.19
05d,0.34457,male,1,NA
05d,0.36868,male,1,33.92
05d,0.374714,male,0,30.13
05d,0.449632,male,1,35.44
05d,0.471269,male,0,48.98
05d,0.513439,male,1,NA
05d,0.522303,male,0,65.84
05d,0.530763,male,1,36.39
05d,0.538748,male,0,48.27
05d,0.604306,male,0,33.8
05d,0.667181,male,1,65.32
05d,0.741028,male,1,41.89
05d,0.765762,male,0,33.1799
05d,0.827799,male,0,43.71
05d,0.85324,male,0,55.0801
05d,0.870527,male,0,52.46
05d,0.91904,male,1,21.23
05d,0.955559,male,1,19.68
05d,0.956256,male,0,29.82
05d,0.971842,male,1,30.6899
05d,0.985039,male,1,30.9802
06a,0.155429,female,1,38.41
06a,0.159068,female,1,57.28
06a,0.216948,female,0,54.53
06a,0.242562,female,1,32.1699
06a,0.253039,female,1,40.65
06a,0.346327,female,1,NA
06a,0.371191,female,1,NA
06a,0.403469,female,1,50.59
06a,0.445424,female,1,37.26
06a,0.464062,female,1,63.95
06a,0.467239,female,0,49.99
06a,0.479123,female,0,51.25
06a,0.498376,female,0,52.56
06a,0.509335,female,0,38.83
06a,0.547046,female,0,NA
06a,0.547258,female,0,55.04
06a,0.568818,female,1,40.93
06a,0.634827,female,1,40.67
06a,0.739648,female,1,129.75
06a,0.761617,female,1,28.27
06a,0.776558,female,1,39.16
06a,0.777853,female,1,60.51
06a,0.789901,female,1,NA
06a,0.808173,female,1,23.22
06a,0.852039,female,1,49.07
06a,0.905147,female,1,37.61
06a,0.941672,female,0,38.55
06a,0.974894,female,0,28.1
06b,0.155025,female,1,97.45
06b,0.165215,female,1,76.7401
06b,0.205804,female,0,39.66
06b,0.239306,female,1,44.41
06b,0.267982,female,1,NA
06b,0.307188,female,0,111.37
06b,0.367347,female,1,NA
06b,0.371037,female,1,85.76
06b,0.412816,female,1,89.43
06b,0.461342,female,0,107.92
06b,0.46496,female,1,38.12
06b,0.496736,female,0,37.56
06b,0.619917,female,1,64.4
06b,0.647028,female,1,85.92
